date,sample_id,station,type,target_depth,Fe2+ (mg/L),notes
2024-07-08,L303_1.4_SWI_R2,,SWI,,0.083,
2024-07-08,L303_2.1_0.5_R1,,0.5,0.5,0.092,
2024-07-08,L303_2.1_0.5_R2,,0.5,0.5,0.095,
2024-07-08,L303_2.1_SWI_R1,,SWI,,0.062,
2024-07-08,L303_2.1_SWI_R2,,SWI,,0.077,
2024-07-08,L303_2.2_0.5_R1,,0.5,0.5,0.086,
2024-07-08,L303_2.2_0.5_R2,,0.5,0.5,0.083,
2024-07-08,L303_2.2_SWI_R1,,SWI,,0.034,
2024-07-08,L303_2.2_SWI_R2,,SWI,,0.089,
2024-07-08,L303_2.3_0.5_R1,,0.5,0.5,0.104,
2024-07-08,L303_2.3_0.5_R2,,0.5,0.5,0.052,
2024-07-08,L303_2.3_SWI_R1,,SWI,,0.086,
2024-07-08,L303_2.3_SWI_R2,,SWI,,0.083,
2024-07-08,L303_2.4_0.5_R1,,0.5,0.5,0.168,
2024-07-08,L303_2.4_0.5_R2,,0.5,0.5,0.138,
2024-07-08,L303_2.4_SWI_R1,,SWI,,0.055,
2024-07-08,L303_2.4_SWI_R2,,SWI,,0.125,
2024-07-08,L303_2.5_0.5_R1,,0.5,0.5,0.113,
2024-07-08,L303_2.5_0.5_R2,,0.5,0.5,0.098,
2024-07-08,L303_2.5_SWI_R1,,SWI,,0.189,
2024-07-08,L303_2.5_SWI_R2,,SWI,,0.241,
2024-07-08,L303_2.6_0.5_R1,,0.5,0.5,0.122,
2024-07-08,L303_2.6_0.5_R2,,0.5,0.5,0.107,
2024-07-08,L303_2.6_SWI_R1,,SWI,,0.049,
2024-07-08,L303_2.6_SWI_R2,,SWI,,0.098,
2024-07-08,L303_2.7_0.5_R1,,0.5,0.5,0.138,
2024-07-08,L303_2.7_0.5_R2,,0.5,0.5,0.043,
2024-07-08,L303_2.7_SWI_R1,,SWI,,0.132,
2024-07-08,L303_2.7_SWI_R2,,SWI,,0.101,
2024-07-15,L303_1.1_0.5_R1,,0.5,0.5,-0.003,
2024-07-15,L303_1.1_0.5_R2,,0.5,0.5,0.003,
2024-07-15,L303_1.1_SWI_R1,,SWI,,NA,open
2024-07-15,L303_1.1_SWI_R2,,SWI,,NA,droped
2024-07-15,L303_1.2_0.5_R1,,0.5,0.5,0.009,
2024-07-15,L303_1.2_0.5_R2,,0.5,0.5,0,
2024-07-15,L303_1.2_SWI_R1,,SWI,,0.019,
2024-07-15,L303_1.2_SWI_R2,,SWI,,0.003,
2024-07-15,L303_1.3_0.5_R1,,0.5,0.5,0.031,
2024-07-15,L303_1.3_0.5_R2,,0.5,0.5,0.028,
2024-07-15,L303_1.3_SWI_R1,,SWI,,0.058,
2024-07-15,L303_1.3_SWI_R2,,SWI,,0.04,
2024-07-15,L303_1.4_0.5_R1,,0.5,0.5,0.046,
2024-07-15,L303_1.4_0.5_R2,,0.5,0.5,0.052,
2024-07-15,L303_1.4_SWI_R1,,SWI,,0.068,
2024-07-15,L303_1.4_SWI_R2,,SWI,,0.043,
2024-07-15,L303_2.1_0.5_R1,,0.5,0.5,0.055,
2024-07-15,L303_2.1_0.5_R2,,0.5,0.5,0.068,
2024-07-15,L303_2.1_SWI_R1,,SWI,,0.104,
2024-07-15,L303_2.1_SWI_R2,,SWI,,0.049,
2024-07-15,L303_2.2_0.5_R1,,0.5,0.5,0.101,
2024-07-15,L303_2.2_0.5_R2,,0.5,0.5,0.074,
2024-07-15,L303_2.2_SWI_R1,,SWI,,0.095,
2024-07-15,L303_2.2_SWI_R2,,SWI,,0.074,
2024-07-15,L303_2.3_0.5_R1,,0.5,0.5,0.012,
2024-07-15,L303_2.3_0.5_R2,,0.5,0.5,0.064,
2024-07-15,L303_2.3_SWI_R1,,SWI,,0.083,
2024-07-15,L303_2.3_SWI_R2,,SWI,,0.028,
2024-07-15,L303_2.4_0.5_R1,,0.5,0.5,0.077,
2024-07-15,L303_2.4_0.5_R2,,0.5,0.5,0.11,
2024-07-15,L303_2.4_SWI_R1,,SWI,,0.083,
2024-07-15,L303_2.4_SWI_R2,,SWI,,0.132,
2024-07-15,L303_2.5_0.5_R1,,0.5,0.5,0.083,
2024-07-15,L303_2.5_0.5_R2,,0.5,0.5,0.074,
2024-07-15,L303_2.5_SWI_R1,,SWI,,0.104,
2024-07-15,L303_2.5_SWI_R2,,SWI,,0.11,
2024-07-15,L303_2.6_0.5_R1,,0.5,0.5,0.116,
2024-07-15,L303_2.6_0.5_R2,,0.5,0.5,0.074,
2024-07-15,L303_2.6_SWI_R1,,SWI,,0.107,
2024-07-15,L303_2.6_SWI_R2,,SWI,,0.156,
2024-07-15,L303_2.7_0.5_R1,,0.5,0.5,0.11,
2024-07-15,L303_2.7_0.5_R2,,0.5,0.5,0.107,
2024-07-15,L303_2.7_SWI_R1,,SWI,,0.205,
2024-07-15,L303_2.7_SWI_R2,,SWI,,0.058,
2024-07-22,L303_1.1_0.5_R1,,0.5,0.5,-0.009,
2024-07-22,L303_1.1_0.5_R2,,0.5,0.5,-0.015,
2024-07-22,L303_1.1_SWI_R1,,SWI,,-0.003,
2024-07-22,L303_1.1_SWI_R2,,SWI,,-0.015,
2024-07-22,L303_1.2_0.5_R1,,0.5,0.5,-0.006,
2024-07-22,L303_1.2_0.5_R2,,0.5,0.5,-0.003,
2024-07-22,L303_1.2_SWI_R1,,SWI,,0,
2024-07-22,L303_1.2_SWI_R2,,SWI,,0.009,
2024-07-22,L303_1.3_0.5_R1,,0.5,0.5,0.003,
2024-07-22,L303_1.3_0.5_R2,,0.5,0.5,-0.006,
2024-07-22,L303_1.3_SWI_R1,,SWI,,-0.006,
2024-07-22,L303_1.3_SWI_R2,,SWI,,-0.003,
2024-07-22,L303_1.4_0.5_R1,,0.5,0.5,0.006,
2024-07-22,L303_1.4_0.5_R2,,0.5,0.5,0,
2024-07-22,L303_1.4_SWI_R1,,SWI,,-0.006,
2024-07-22,L303_1.4_SWI_R2,,SWI,,-0.006,
2024-07-22,L303_2.1_0.5_R1,,0.5,0.5,-0.009,
2024-07-22,L303_2.1_0.5_R2,,0.5,0.5,-0.006,
2024-07-22,L303_2.1_SWI_R1,,SWI,,0.025,
2024-07-22,L303_2.1_SWI_R2,,SWI,,0.006,
2024-07-22,L303_2.2_0.5_R1,,0.5,0.5,0.009,
2024-07-22,L303_2.2_0.5_R2,,0.5,0.5,0.009,
2024-07-22,L303_2.2_SWI_R1,,SWI,,0.028,
2024-07-22,L303_2.2_SWI_R2,,SWI,,0.003,
2024-07-22,L303_2.3_0.5_R1,,0.5,0.5,0.006,
2024-07-22,L303_2.3_0.5_R2,,0.5,0.5,0.009,
2024-07-22,L303_2.3_SWI_R1,,SWI,,NA,
2024-07-22,L303_2.3_SWI_R2,,SWI,,0.012,
2024-07-22,L303_2.4_0.5_R1,,0.5,0.5,0,
2024-07-22,L303_2.4_0.5_R2,,0.5,0.5,0.006,
2024-07-22,L303_2.4_SWI_R1,,SWI,,0.055,
2024-07-22,L303_2.4_SWI_R2,,SWI,,0.073,
2024-07-22,L303_2.5_0.5_R1,,0.5,0.5,0.012,
2024-07-22,L303_2.5_0.5_R2,,0.5,0.5,NA,
2024-07-22,L303_2.5_SWI_R1,,SWI,,0.003,
2024-07-22,L303_2.5_SWI_R2,,SWI,,0.031,
2024-07-22,L303_2.6_0.5_R1,,0.5,0.5,0.006,
2024-07-22,L303_2.6_0.5_R2,,0.5,0.5,0.018,
2024-07-22,L303_2.6_SWI_R1,,SWI,,0.043,
2024-07-22,L303_2.6_SWI_R2,,SWI,,0.012,
2024-07-22,L303_2.7_0.5_R1,,0.5,0.5,0.149,
2024-07-22,L303_2.7_0.5_R2,,0.5,0.5,NA,
2024-07-22,L303_2.7_SWI_R1,,SWI,,0.009,
2024-07-22,L303_2.7_SWI_R2,,SWI,,0.031,
2024-07-29,L303_1.1_0.5_R1,,0.5,0.5,-0.005,
2024-07-29,L303_1.1_0.5_R2,,0.5,0.5,-0.017,
2024-07-29,L303_1.1_SWI_R1,,SWI,,-0.02,
2024-07-29,L303_1.1_SWI_R2,,SWI,,-0.023,
2024-07-29,L303_1.2_0.5_R1,,0.5,0.5,-0.023,
2024-07-29,L303_1.2_0.5_R2,,0.5,0.5,-0.02,
2024-07-29,L303_1.2_SWI_R1,,SWI,,-0.011,
2024-07-29,L303_1.2_SWI_R2,,SWI,,-0.023,
2024-07-29,L303_1.3_0.5_R1,,0.5,0.5,-0.017,
2024-07-29,L303_1.3_0.5_R2,,0.5,0.5,-0.02,
2024-07-29,L303_1.3_SWI_R1,,SWI,,-0.026,
2024-07-29,L303_1.3_SWI_R2,,SWI,,-0.017,
2024-07-29,L303_1.4_0.5_R1,,0.5,0.5,0.004,
2024-07-29,L303_1.4_0.5_R2,,0.5,0.5,-0.005,
2024-07-29,L303_1.4_SWI_R1,,SWI,,-0.002,
